EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_AUSD,PRICE_JPY
211,0.037654,23-8-2020,0.10624465946995454,0.12531555685950455,0.17501683454999536,13.259509409803794
212,0.037593,28-8-2020,0.0903742505301071,0.10683596306265304,0.1470132295118094,11.393093936964354
213,0.043942,2-9-2020,0.10434076305930337,0.12445625402929679,0.16862640086556416,13.17506350779537
214,0.039128,7-9-2020,0.07854388951327736,0.09296928225595855,0.12768893962229352,9.882774157731802
215,0.037109,12-9-2020,0.08181688965717089,0.09691705074914046,0.13306381549884444,10.28822952227501
216,0.313038,17-9-2020,0.07731274385636264,0.09129471151418299,0.12505503935857024,9.58887755159661
217,0.29646,22-9-2020,0.0683061211301881,0.08036695005952045,0.11118301412424347,8.413214166980927
218,0.326131,27-9-2020,0.08230671755734925,0.09573509661982581,0.13624377525786238,10.10876458718398
219,0.346439,2-10-2020,0.08350380814999185,0.09806671538460612,0.13654515250006363,10.350990842202872
220,0.288726,7-10-2020,0.07910936054496243,0.0928423176438943,0.13063034787508837,9.809255070665653
221,0.347657,12-10-2020,0.08992279584588954,0.10630428637650947,0.1470729369404782,11.228390248518805
222,0.302506,17-10-2020,0.08882858103960023,0.10407566612724076,0.14697877797487335,10.97217289680745
223,0.454236,22-10-2020,0.08924674546764463,0.10578746134929869,0.14892420288877953,11.070816511396096
224,0.218111,27-10-2020,0.08744108931480264,0.10326744484141924,0.1450385066751041,10.82583604506049
225,0.509968,1-11-2020,0.07952868991456136,0.09286959263589264,0.13212352631204666,9.719267217309385
226,0.362477,6-11-2020,0.08235215021985755,0.09750582263266826,0.1342193975110794,10.100335649050205
227,0.299953,11-11-2020,0.0893835903102505,0.10562814231721475,0.14506969065846267,11.11936891359091
228,0.317203,16-11-2020,0.08504318576676775,0.10073652624425576,0.13821172284543376,10.545099567248693
229,0.31512,21-11-2020,0.09921368480621329,0.1176356652567512,0.1610829865913491,12.217875464896686
230,0.446803,26-11-2020,0.13064942175962166,0.155687562647238,0.21141359038337687,16.254715665747575
231,0.329562,1-12-2020,0.14281948178777315,0.17050059426844394,0.23168319801632667,17.783552983387235
232,0.330592,6-12-2020,0.1316121691319751,0.1595540768382783,0.2148906217673307,16.62354106347958
233,0.26454,11-12-2020,0.11708002887415929,0.1421819715953808,0.1889157638390663,14.812375618835123
234,0.311352,16-12-2020,0.1267978092290496,0.15412399322845466,0.20396584315061855,15.973950092173355
235,0.246993,21-12-2020,0.13264118664731564,0.16204943128942723,0.2135438790702689,16.76223112314704
236,0.368758,,,,,
237,0.290812,,,,,
238,0.330009,,,,,
239,0.304586,,,,,
240,0.331795,,,,,
241,0.287511,,,,,
242,0.297669,,,,,
243,0.37644,,,,,
244,0.258835,,,,,
245,0.423626,,,,,
246,0.335067,,,,,
247,0.396305,,,,,
248,0.321463,,,,,
249,0.352692,,,,,
250,0.385042,,,,,
251,0.338933,,,,,
252,0.37321,,,,,
253,0.40154,,,,,
254,0.309063,,,,,
255,0.342398,,,,,
256,0.280469,,,,,
257,0.328608,,,,,
258,0.312152,,,,,
259,0.33432,,,,,
260,0.395563,,,,,
261,0.322125,,,,,
262,0.327347,,,,,
263,0.30994,,,,,
264,0.399865,,,,,
265,0.242054,,,,,
266,0.285826,,,,,
267,0.286102,,,,,
268,0.30133,,,,,
269,0.280263,,,,,
270,0.323657,,,,,
271,0.302288,,,,,
272,0.307777,,,,,
273,0.291566,,,,,
274,0.291023,,,,,
275,0.310874,,,,,
276,0.369568,,,,,
277,0.226101,,,,,
278,0.32863,,,,,
279,0.321367,,,,,
280,0.342754,,,,,
281,0.157881,,,,,
282,0.292968,,,,,
283,0.317935,,,,,
284,0.200384,,,,,
285,0.288049,,,,,
286,0.290689,,,,,
287,0.326637,,,,,
288,0.264908,,,,,
289,0.267505,,,,,
290,0.2658,,,,,
291,0.233874,,,,,
292,0.258863,,,,,
293,0.277544,,,,,
294,0.257935,,,,,
295,0.307836,,,,,
296,0.227088,,,,,
297,0.282714,,,,,
298,0.242264,,,,,
299,0.278417,,,,,
300,0.251039,,,,,
301,0.304508,,,,,
302,0.256015,,,,,
303,0.177101,,,,,
304,0.26927,,,,,
305,0.274839,,,,,
306,0.249537,,,,,
307,0.201226,,,,,
308,0.255021,,,,,
309,0.313958,,,,,
310,0.235597,,,,,
311,0.240433,,,,,
312,0.311266,,,,,
313,0.327349,,,,,
314,0.126933,,,,,
315,0.365644,,,,,
316,0.357358,,,,,
317,0.278838,,,,,
318,0.320774,,,,,
319,0.186935,,,,,
320,0.191426,,,,,
322,0.061303,,,,,
323,0.060868,,,,,
324,0.06078,,,,,
325,0.183151,,,,,
326,0.057254,,,,,
327,0.004635,,,,,
328,0.034838,,,,,
329,0.047747,,,,,
330,0.00497,,,,,
331,0.015255,,,,,
332,0.035857,,,,,
333,0.015243,,,,,
335,0.015672,,,,,
337,0.025878,,,,,
339,0.015177,,,,,
340,0.01515,,,,,
341,0.004874,,,,,
342,0.015298,,,,,
343,0.004874,,,,,
344,0.035831,,,,,
345,0.026034,,,,,
346,0.005274,,,,,
347,0.016624,,,,,
351,0.005058,,,,,
352,0.027117,,,,,
353,0.016878,,,,,
354,0.005235,,,,,
355,0.005233,,,,,
356,0.016763,,,,,
