EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_JPY
211,1679.331533,13-8-2020,0.11575226575368236,0.13654137240996128,14.582937169464286
212,1896.936702,18-8-2020,0.11844142868637539,0.14066093296166526,14.911043520467173
213,2177.441066,23-8-2020,0.10624465946995454,0.12531555685950455,13.259509409803794
214,2151.12058,28-8-2020,0.0903742505301071,0.10683596306265304,11.393093936964354
215,2078.264344,2-9-2020,0.10434076305930337,0.12445625402929679,13.17506350779537
216,1909.489016,7-9-2020,0.07854388951327736,0.09296928225595855,9.882774157731802
217,2.721291,12-9-2020,0.08181688965717089,0.09691705074914046,10.28822952227501
218,4.430629,17-9-2020,0.07731274385636264,0.09129471151418299,9.58887755159661
219,6.105214,22-9-2020,0.0683061211301881,0.08036695005952045,8.413214166980927
220,5.086622,27-9-2020,0.08230671755734925,0.09573509661982581,10.10876458718398
221,6.123871,2-10-2020,0.08350380814999185,0.09806671538460612,10.350990842202872
222,0.003907,7-10-2020,0.07910936054496243,0.0928423176438943,9.809255070665653
223,0.010863,12-10-2020,0.08992279584588954,0.10630428637650947,11.228390248518805
224,0.008064,17-10-2020,0.08882858103960023,0.10407566612724076,10.97217289680745
225,0.018847,22-10-2020,0.08924674546764463,0.10578746134929869,11.070816511396096
226,0.013392,27-10-2020,0.08744108931480264,0.10326744484141924,10.82583604506049
227,0.011082,1-11-2020,0.07952868991456136,0.09286959263589264,9.719267217309385
228,0.011719,6-11-2020,0.08235215021985755,0.09750582263266826,10.100335649050205
229,0.011642,11-11-2020,0.0893835903102505,0.10562814231721475,11.11936891359091
